target_id,context_id
0,1
0,2
0,3
0,4
1,0
1,2
1,3
1,4
1,5
2,0
2,1
2,3
2,4
2,5
2,6
3,0
3,1
3,2
3,4
3,5
3,6
3,7
4,0
4,1
4,2
4,3
4,5
4,6
4,7
4,8
5,1
5,2
5,3
5,4
5,6
5,7
5,8
5,9
6,2
6,3
6,4
6,5
6,7
6,8
6,9
6,10
7,3
7,4
7,5
7,6
7,8
7,9
7,10
7,11
8,4
8,5
8,6
8,7
8,9
8,10
8,11
8,12
9,5
9,6
9,7
9,8
9,10
9,11
9,12
9,13
10,6
10,7
10,8
10,9
10,11
10,12
10,13
10,14
11,7
11,8
11,9
11,10
11,12
11,13
11,14
11,15
12,8
12,9
12,10
12,11
12,13
12,14
12,15
12,16
13,9
13,10
13,11
13,12
13,14
13,15
13,16
13,12
14,10
14,11
14,12
14,13
14,15
14,16
14,12
14,17
15,11
15,12
15,13
15,14
15,16
15,12
15,17
15,18
16,12
16,13
16,14
16,15
16,12
16,17
16,18
16,19
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
17,14
17,15
17,16
17,12
17,18
17,19
17,20
17,21
18,15
18,16
18,12
18,17
18,19
18,20
18,21
18,22
19,16
19,12
19,17
19,18
19,20
19,21
19,22
19,23
20,12
20,17
20,18
20,19
20,21
20,22
20,23
20,24
21,17
21,18
21,19
21,20
21,22
21,23
21,24
21,25
22,18
22,19
22,20
22,21
22,23
22,24
22,25
22,26
23,19
23,20
23,21
23,22
23,24
23,25
23,26
23,27
24,20
24,21
24,22
24,23
24,25
24,26
24,27
24,28
25,21
25,22
25,23
25,24
25,26
25,27
25,28
25,12
26,22
26,23
26,24
26,25
26,27
26,28
26,12
26,29
27,23
27,24
27,25
27,26
27,28
27,12
27,29
27,30
28,24
28,25
28,26
28,27
28,12
28,29
28,30
28,31
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,32
29,26
29,27
29,28
29,12
29,30
29,31
29,32
29,33
30,27
30,28
30,12
30,29
30,31
30,32
30,33
30,34
31,28
31,12
31,29
31,30
31,32
31,33
31,34
31,35
32,12
32,29
32,30
32,31
32,33
32,34
32,35
32,36
33,29
33,30
33,31
33,32
33,34
33,35
33,36
33,37
34,30
34,31
34,32
34,33
34,35
34,36
34,37
34,38
35,31
35,32
35,33
35,34
35,36
35,37
35,38
35,39
36,32
36,33
36,34
36,35
36,37
36,38
36,39
36,12
37,33
37,34
37,35
37,36
37,38
37,39
37,12
37,40
38,34
38,35
38,36
38,37
38,39
38,12
38,40
38,41
39,35
39,36
39,37
39,38
39,12
39,40
39,41
39,42
12,36
12,37
12,38
12,39
12,40
12,41
12,42
12,43
40,37
40,38
40,39
40,12
40,41
40,42
40,43
40,44
41,38
41,39
41,12
41,40
41,42
41,43
41,44
42,39
42,12
42,40
42,41
42,43
42,44
43,12
43,40
43,41
43,42
43,44
44,40
44,41
44,42
44,43
